,,,Batting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pitching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fielding,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Last,First,GP,PA,AB,AVG,OBP,OPS,SLG,H,1B,2B,3B,HR,RBI,R,BB,SO,K-L,HBP,SAC,SF,ROE,FC,SB,SB%,CS,PIK,QAB,QAB%,PA/BB,BB/K,C%,HHB,LD%,FB%,GB%,BABIP,BA/RISP,LOB,2OUTRBI,XBH,TB,PS,PS/PA,2S+3,2S+3%,6+,6+%,AB/HR,GIDP,GITP,CI,IP,GP,GS,BF,#P,W,L,SV,SVO,BS,SV%,H,R,ER,BB,SO,K-L,HBP,ERA,WHIP,LOB,BK,PIK,CS,SB,SB%,WP,BAA,MPHFB,MPHCT,MPHCB,MPHSL,MPHCH,MPHOS,P/IP,P/BF,<3%,LOO,1ST2OUT,123INN,<13,FIP,S%,FPS%,FPSO%,FPSW%,FPSH%,BB/INN,0BBINN,BBS,LOBB,LOBBS,SM%,K/BF,K/BB,WEAK%,HHB%,GO/AO,HR,LD%,FB%,GB%,BABIP,BA/RISP,FB,FBS,FBS%,FBSW%,FBSM%,CT,CTS,CTS%,CTSW%,CTSM%,CB,CBS,CBS%,CBSW%,CBSM%,SL,SLS,SLS%,SLSW%,SLSM%,CH,CHS,CHS%,CHSW%,CHSM%,OS,OSS,OSS%,OSSW%,OSSM%,TC,A,PO,FPCT,E,DP,TP,INN,PB,SB,SB-ATT,CS,CS%,PIK,CI,P,C,1B,2B,3B,SS,LF,CF,RF,SF,Total
1,Evans,Sean,25,64,55,0.218,0.328,0.601,0.273,12,9,3,0,0,3,5,8,15,7,1,0,0,0,0,3,100,0,0,29,45.31,8,0.533,72.73,11,12.5,37.5,50,0.3,0.273,25,1,3,15,269,4.203,8,12.5,17,26.56,0,0,0,0,21.1,14,2,109,430,2,0,3,3,0,100,20,18,5,16,33,17,3,1.641,1.688,30,1,0,1,9,90,10,0.225,N/A,N/A,N/A,N/A,N/A,N/A,20.2,3.945,42.2,10,5,2,2,2.212,60.7,54.13,66.1,8.47,18.64,0.75,9,3,2,1,10.93,0.303,2.062,75.44,24.56,1.333,0,14.04,29.82,54.55,0.351,0.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,7,37,0.88,6,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,Turnbow,Beckett,25,93,73,0.37,0.505,1.081,0.575,27,15,9,3,0,17,23,20,16,7,0,0,0,3,1,10,90.91,1,2,59,63.44,4.7,1.25,78.08,17,17.54,47.37,29.82,0.474,0.52,25,3,12,42,373,4.011,11,11.83,20,21.51,0,0,0,0,2.2,3,0,13,71,1,0,0,0,0,0,1,4,2,4,8,3,0,5.25,1.875,6,0,0,0,1,100,1,0.111,N/A,N/A,N/A,N/A,N/A,N/A,26.6,5.462,0,2,2,1,0,0.68,49.3,30.77,100,0,0,1.5,3,3,1,1,9.86,0.615,2,0,100,0,0,100,0,0,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,77,41,29,0.909,7,3,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,Burtis,Neal,25,67,50,0.24,0.377,0.617,0.24,12,12,0,0,0,9,11,9,19,6,2,6,0,2,0,15,93.75,1,1,32,47.76,7.4,0.474,62,10,10.81,24.32,35.14,0.387,0.278,21,1,0,12,243,3.627,13,19.4,14,20.9,0,1,0,0,32.2,10,7,149,587,2,2,0,0,0,0,25,20,17,18,51,14,5,3.643,1.316,30,1,2,0,7,100,6,0.202,N/A,N/A,N/A,N/A,N/A,N/A,18,3.94,35.57,24,15,9,11,2.306,63.2,63.76,73.68,5.26,17.89,0.551,21,7,3,1,15.84,0.342,2.833,80,20,1,2,16,29.33,50.72,0.324,0.263,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27,5,20,0.926,2,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,Wagner,Anthony,3,4,3,0,0.25,0.25,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,50,4,1,66.67,0,0,100,0,0,0,4,0,0,0,15,3.75,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,2,1,0.6,2,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12,Lee,Jacob,6,14,9,0.111,0.385,0.496,0.111,1,1,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,9,64.29,3.5,2,77.78,1,0,62.5,25,0.143,0,7,0,0,1,71,5.071,4,28.57,6,42.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,224,20,199,0.978,5,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13,Post,Lucas,6,5,4,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,1,0,0,0,0,0,0,2,40,0,0,25,0,0,50,50,0,0,3,0,0,0,20,4,1,20,1,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,1,1,0,0,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
14,Jay,Adam,25,87,69,0.275,0.381,0.7,0.319,19,16,3,0,0,14,11,11,17,6,2,3,2,3,1,0,0,1,0,49,56.32,7.9,0.647,75.36,18,15.79,24.56,47.37,0.352,0.333,30,6,3,22,312,3.586,10,11.49,14,16.09,0,2,0,0,46.1,10,10,195,762,5,1,0,0,0,0,37,18,16,18,64,14,4,2.417,1.187,35,2,3,1,9,90,5,0.216,N/A,N/A,N/A,N/A,N/A,N/A,16.4,3.908,42.05,37,26,14,14,1.466,64.17,61.54,71.67,5,22.5,0.388,29,3,3,1,15.22,0.328,3.556,79.82,20.18,1.143,0,12.84,29.36,55.77,0.339,0.195,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25,10,14,0.96,1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16,Perez,Lucas,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,1,0,0,0,6,6,1,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17,Nold,Jacob,19,2,1,0,0.5,0.5,0,0,0,0,0,0,0,10,1,1,0,0,0,0,0,0,5,83.33,1,0,1,50,2,1,0,0,0,0,0,0,0,2,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,1,1,0,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
